Timestep 381/1000, Loss: 0.0227
Timestep 382/1000, Loss: 0.0233
Timestep 383/1000, Loss: 0.0232
Timestep 384/1000, Loss: 0.0232
Timestep 385/1000, Loss: 0.0236
Timestep 386/1000, Loss: 0.0234
Timestep 387/1000, Loss: 0.0235
Timestep 388/1000, Loss: 0.0230
Timestep 389/1000, Loss: 0.0230
Timestep 390/1000, Loss: 0.0232
Timestep 391/1000, Loss: 0.0226
Timestep 392/1000, Loss: 0.0228
Timestep 393/1000, Loss: 0.0231
Timestep 394/1000, Loss: 0.0237
Timestep 395/1000, Loss: 0.0227
Timestep 396/1000, Loss: 0.0231
Timestep 397/1000, Loss: 0.0236
Timestep 398/1000, Loss: 0.0231
Timestep 399/1000, Loss: 0.0229
Timestep 400/1000, Loss: 0.0227
Timestep 401/1000, Loss: 0.0229
Timestep 402/1000, Loss: 0.0229
Timestep 403/1000, Loss: 0.0226
Timestep 404/1000, Loss: 0.0233
Timestep 405/1000, Loss: 0.0233
Timestep 406/1000, Loss: 0.0229
Timestep 407/1000, Loss: 0.0232
Timestep 408/1000, Loss: 0.0230
Timestep 409/1000, Loss: 0.0231
Timestep 410/1000, Loss: 0.0234
Timestep 411/1000, Loss: 0.0236
Timestep 412/1000, Loss: 0.0231
Timestep 413/1000, Loss: 0.0232
Timestep 414/1000, Loss: 0.0232
Timestep 415/1000, Loss: 0.0231
Timestep 416/1000, Loss: 0.0231
Timestep 417/1000, Loss: 0.0233
Timestep 418/1000, Loss: 0.0234
Timestep 419/1000, Loss: 0.0227
Timestep 420/1000, Loss: 0.0231
Timestep 421/1000, Loss: 0.0225
Timestep 422/1000, Loss: 0.0233
Timestep 423/1000, Loss: 0.0233
Timestep 424/1000, Loss: 0.0230
Timestep 425/1000, Loss: 0.0231
Timestep 426/1000, Loss: 0.0234
Timestep 427/1000, Loss: 0.0225
Timestep 428/1000, Loss: 0.0233
Timestep 429/1000, Loss: 0.0234
Timestep 430/1000, Loss: 0.0230
Timestep 431/1000, Loss: 0.0228
Timestep 432/1000, Loss: 0.0225
Timestep 433/1000, Loss: 0.0226
Timestep 434/1000, Loss: 0.0228
Timestep 435/1000, Loss: 0.0227
Timestep 436/1000, Loss: 0.0234
Timestep 437/1000, Loss: 0.0229
Timestep 438/1000, Loss: 0.0228
Timestep 439/1000, Loss: 0.0227
Timestep 440/1000, Loss: 0.0228
Timestep 441/1000, Loss: 0.0223
Timestep 442/1000, Loss: 0.0227
Timestep 443/1000, Loss: 0.0230
Timestep 444/1000, Loss: 0.0230
Timestep 445/1000, Loss: 0.0225
Timestep 446/1000, Loss: 0.0223
Timestep 447/1000, Loss: 0.0228
Timestep 448/1000, Loss: 0.0233
Timestep 449/1000, Loss: 0.0225
Timestep 450/1000, Loss: 0.0226
Timestep 451/1000, Loss: 0.0236
Timestep 452/1000, Loss: 0.0232
Timestep 453/1000, Loss: 0.0224
Timestep 454/1000, Loss: 0.0224
Timestep 455/1000, Loss: 0.0223
Timestep 456/1000, Loss: 0.0228
Timestep 457/1000, Loss: 0.0224
Timestep 458/1000, Loss: 0.0221
Timestep 459/1000, Loss: 0.0227
Timestep 460/1000, Loss: 0.0227
Timestep 461/1000, Loss: 0.0227
Timestep 462/1000, Loss: 0.0223
Timestep 463/1000, Loss: 0.0224
Timestep 464/1000, Loss: 0.0230
Timestep 465/1000, Loss: 0.0219
Timestep 466/1000, Loss: 0.0221
Timestep 467/1000, Loss: 0.0228
Timestep 468/1000, Loss: 0.0222
